vSweep,run_num,vd,id,vth0,u0,rdsw,nfactor,vsat,eta0
0.00000000e+00,1.00000000e+00,0.00000000e+00,-5.34339332e-43,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.00000000e-02,1.00000000e+00,1.00000000e-02,-1.82640636e-05,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.00000000e-02,1.00000000e+00,2.00000000e-02,-3.56687363e-05,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.00000000e-02,1.00000000e+00,3.00000000e-02,-5.21294411e-05,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
4.00000000e-02,1.00000000e+00,4.00000000e-02,-6.76135562e-05,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
5.00000000e-02,1.00000000e+00,5.00000000e-02,-8.21161244e-05,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
6.00000000e-02,1.00000000e+00,6.00000000e-02,-9.56495355e-05,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
7.00000000e-02,1.00000000e+00,7.00000000e-02,-1.08238342e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
8.00000000e-02,1.00000000e+00,8.00000000e-02,-1.19916197e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
9.00000000e-02,1.00000000e+00,9.00000000e-02,-1.30723710e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.00000000e-01,1.00000000e+00,1.00000000e-01,-1.40706702e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.10000000e-01,1.00000000e+00,1.10000000e-01,-1.49914641e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.20000000e-01,1.00000000e+00,1.20000000e-01,-1.58399202e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.30000000e-01,1.00000000e+00,1.30000000e-01,-1.66212943e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.40000000e-01,1.00000000e+00,1.40000000e-01,-1.73408135e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.50000000e-01,1.00000000e+00,1.50000000e-01,-1.80035775e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.60000000e-01,1.00000000e+00,1.60000000e-01,-1.86144802e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.70000000e-01,1.00000000e+00,1.70000000e-01,-1.91781528e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.80000000e-01,1.00000000e+00,1.80000000e-01,-1.96989251e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
1.90000000e-01,1.00000000e+00,1.90000000e-01,-2.01808051e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.00000000e-01,1.00000000e+00,2.00000000e-01,-2.06274721e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.10000000e-01,1.00000000e+00,2.10000000e-01,-2.10422806e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.20000000e-01,1.00000000e+00,2.20000000e-01,-2.14282728e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.30000000e-01,1.00000000e+00,2.30000000e-01,-2.17881957e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.40000000e-01,1.00000000e+00,2.40000000e-01,-2.21245219e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.50000000e-01,1.00000000e+00,2.50000000e-01,-2.24394721e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.60000000e-01,1.00000000e+00,2.60000000e-01,-2.27350370e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.70000000e-01,1.00000000e+00,2.70000000e-01,-2.30130001e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.80000000e-01,1.00000000e+00,2.80000000e-01,-2.32749582e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
2.90000000e-01,1.00000000e+00,2.90000000e-01,-2.35223408e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.00000000e-01,1.00000000e+00,3.00000000e-01,-2.37564286e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.10000000e-01,1.00000000e+00,3.10000000e-01,-2.39783695e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.20000000e-01,1.00000000e+00,3.20000000e-01,-2.41891931e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.30000000e-01,1.00000000e+00,3.30000000e-01,-2.43898243e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.40000000e-01,1.00000000e+00,3.40000000e-01,-2.45810947e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.50000000e-01,1.00000000e+00,3.50000000e-01,-2.47637531e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.60000000e-01,1.00000000e+00,3.60000000e-01,-2.49384749e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.70000000e-01,1.00000000e+00,3.70000000e-01,-2.51058700e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.80000000e-01,1.00000000e+00,3.80000000e-01,-2.52664901e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
3.90000000e-01,1.00000000e+00,3.90000000e-01,-2.54208351e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
4.00000000e-01,1.00000000e+00,4.00000000e-01,-2.55693587e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
4.10000000e-01,1.00000000e+00,4.10000000e-01,-2.57124732e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
4.20000000e-01,1.00000000e+00,4.20000000e-01,-2.58505540e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
4.30000000e-01,1.00000000e+00,4.30000000e-01,-2.59839437e-04,4.48092025e-01,7.40069000e-02,1.00279000e+02,1.13110000e+01,1.37848000e+05,-1.91127000e-01
